     ,asks                                                                                                            ,bids                                                                                                                ,timestamp     ,time_received
 107 ,"[['1', '6978.1']]"                                                                                             ,"[['0.992', '100.8'], ['0.95987', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1']]"            ,1732705218901 ,11:00:18.9374
 108 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95987', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1'], ['0.162', '308.6']]"            ,1732705219000 ,11:00:19.0364
 109 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95987', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1'], ['0.162', '308.6']]"            ,1732705219118 ,11:00:19.1551
 110 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95987', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1'], ['0.162', '308.6']]"            ,1732705219221 ,11:00:19.2582
 111 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95987', '150.6'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6', '2401.1'], ['0.162', '308.6']]"            ,1732705219531 ,11:00:19.5681
 112 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95988', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705219638 ,11:00:19.6750
 113 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95988', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705219739 ,11:00:19.7755
 114 ,"[['1', '6928.3']]"                                                                                             ,"[['0.95988', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705219947 ,11:00:19.9835
 115 ,"[['1', '6678.3']]"                                                                                             ,"[['0.95988', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705220269 ,11:00:20.3062
 116 ,"[['1', '6678.3']]"                                                                                             ,"[['0.95989', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705220378 ,11:00:20.4142
 117 ,"[['1', '6678.3']]"                                                                                             ,"[['0.95989', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705220480 ,11:00:20.5174
 118 ,"[['1', '6678.3']]"                                                                                             ,"[['0.95989', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705220581 ,11:00:20.6183
 119 ,"[['1', '6678.3']]"                                                                                             ,"[['0.95989', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"             ,1732705221208 ,11:00:21.2446
 120 ,"[['1', '6678.3']]"                                                                                             ,"[['0.9599', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525'], ['0.60002', '185']]"              ,1732705221327 ,11:00:21.3637
 121 ,"[['1', '6678.3']]"                                                                                             ,"[['0.9995', '50'], ['0.9599', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"                ,1732705221543 ,11:00:21.5795
 122 ,"[['1', '6668.3']]"                                                                                             ,"[['0.9995', '50'], ['0.9599', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"                ,1732705221653 ,11:00:21.6895
 123 ,"[['1', '6418.3']]"                                                                                             ,"[['0.9995', '50'], ['0.9599', '153'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"                ,1732705221750 ,11:00:21.7870
 124 ,"[['1', '6418.3']]"                                                                                             ,"[['0.9995', '50'], ['0.95991', '100'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705221850 ,11:00:21.8868
 125 ,"[['1', '6418.3']]"                                                                                             ,"[['0.9995', '50'], ['0.95991', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705221947 ,11:00:21.9841
 126 ,"[['1', '6368.3']]"                                                                                             ,"[['0.9995', '50'], ['0.95991', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705222159 ,11:00:22.1954
 127 ,"[['1', '5391.5']]"                                                                                             ,"[['0.9995', '50'], ['0.95991', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705222581 ,11:00:22.6181
 128 ,"[['1', '5391.5']]"                                                                                             ,"[['0.9995', '50'], ['0.95992', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705222681 ,11:00:22.7183
 129 ,"[['1', '5391.5']]"                                                                                             ,"[['0.9995', '50'], ['0.95992', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705222894 ,11:00:22.9303
 130 ,[]                                                                                                              ,"[['0.9995', '50'], ['0.95992', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705223245 ,11:00:23.2818
 131 ,[]                                                                                                              ,"[['0.9995', '50'], ['0.95992', '150'], ['0.95985', '67.7'], ['0.9576', '26.1'], ['0.6555', '1525']]"               ,1732705223350 ,11:00:23.3865
